inventory_id,store_id,store_name,neighborhood,date,ingredient,ingredient_category,opening_stock_units,received_units,used_units,closing_stock_units,reorder_point,spoilage_units,forecasted_usage_units,usage_variance_pct,stock_status,inventory_flag,supplier_delay_flag
INV0000001,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Almond Milk,Dairy Alternative,157,91,62,186,48,0,55,12.73,Overstocked,neutral,No
INV0000002,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Napkins,Supplies,1416,0,475,941,398,0,471,0.85,Healthy,neutral,No
INV0000003,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Straws,Supplies,1251,0,575,676,417,0,500,15.0,Healthy,neutral,No
INV0000004,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Cold Brew Concentrate,Coffee & Tea,826,312,330,808,249,0,374,-11.76,Overstocked,promote,No
INV0000005,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,2% Milk,Dairy,427,0,202,225,140,0,168,20.24,Healthy,neutral,No
INV0000006,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Paper Cups,Supplies,1450,0,531,919,444,0,580,-8.45,Healthy,neutral,No
INV0000007,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Vanilla Syrup,Syrups & Sauces,197,0,89,108,89,0,102,-12.75,Healthy,neutral,No
INV0000008,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Dragonfruit Powder,Specialty,196,70,74,192,56,0,69,7.25,Overstocked,neutral,No
INV0000009,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Ice,Other,194,0,96,98,62,0,73,31.51,Healthy,neutral,No
INV0000010,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Spinach,Food Ingredients,54,0,15,39,14,0,16,-6.25,Healthy,neutral,No
INV0000011,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Turkey Slices,Food Ingredients,136,55,55,136,44,0,54,1.85,Overstocked,promote,No
INV0000012,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Sandwich Bread,Food Ingredients,39,0,26,13,16,0,20,30.0,Low,neutral,No
INV0000013,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Hazelnut Syrup,Syrups & Sauces,195,66,66,195,52,0,71,-7.04,Overstocked,promote,No
INV0000014,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Pumpkin Spice Syrup,Syrups & Sauces,151,0,84,67,68,0,90,-6.67,Low,neutral,No
INV0000015,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Oat Milk,Dairy Alternative,231,82,85,228,65,0,88,-3.41,Overstocked,promote,No
INV0000016,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Caramel Sauce,Syrups & Sauces,277,0,96,181,92,0,125,-23.2,Healthy,neutral,No
INV0000017,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Whole Milk,Dairy,914,386,379,921,308,0,393,-3.56,Healthy,neutral,No
INV0000018,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Espresso Beans,Coffee & Tea,717,0,333,384,280,0,408,-18.38,Healthy,neutral,No
INV0000019,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Whipped Cream,Dairy,587,0,238,349,252,0,360,-33.89,Healthy,save,Yes
INV0000020,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Chai Concentrate,Coffee & Tea,941,0,332,609,289,0,417,-20.38,Healthy,neutral,No
INV0000021,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Frappuccino Base,Specialty,153,0,105,48,73,0,101,3.96,Low,neutral,No
INV0000022,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Blueberry Mix,Bakery Ingredients,169,91,67,193,48,0,74,-9.46,Overstocked,promote,No
INV0000023,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Matcha Powder,Coffee & Tea,603,0,264,339,228,0,268,-1.49,Healthy,neutral,No
