order_id,store_id,store_name,neighborhood,store_type,order_datetime,date,day_of_week,hour,customer_id,item_name,item_category,size,quantity,unit_price,total_price,temperature_type,customizations,milk_type,order_channel,payment_type,wait_time_minutes,customer_rating,local_event_flag,weather_condition,temperature_f
ORD0010000,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,beach,2024-01-10 17:07:01,2024-01-10,Wednesday,17,C000245,Iced Matcha Tea Latte,Iced Tea,Venti,1,5.95,5.95,cold,Extra shot,2% Milk,In-store,Cash,4,4,No,Marine Layer,56
ORD0010001,SD010,Starbucks - Chula Vista Center,Chula Vista,mall,2024-01-11 07:19:59,2024-01-11,Thursday,7,C007122,Iced Chai Tea Latte,Iced Tea,Tall,1,4.95,4.95,cold,No customization,2% Milk,Drive-thru,Starbucks App,6,4,No,Overcast,62
ORD0010002,SD006,Starbucks - UTC Westfield,UTC,mall,2024-04-17 21:56:55,2024-04-17,Wednesday,21,C005978,Caramel Macchiato,Hot Espresso,Grande,1,5.75,5.75,hot,Decaf,Coconut Milk,In-store,Starbucks App,4,5,No,Sunny,68
ORD0010003,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,beach,2024-08-02 09:23:29,2024-08-02,Friday,9,C001908,Cappuccino,Hot Espresso,Venti,1,5.25,5.25,iced_variant,Extra shot,Almond Milk,Mobile Order,Starbucks App,9,3,No,Sunny,87
ORD0010004,SD006,Starbucks - UTC Westfield,UTC,mall,2024-03-04 04:02:45,2024-03-04,Monday,4,C005974,Butter Croissant,Bakery,One Size,1,3.45,3.45,hot,Extra syrup,N/A,In-store,Starbucks App,3,4,No,Partly Cloudy,63
ORD0010005,SD007,Starbucks - Hillcrest,Hillcrest,suburban,2024-04-14 20:05:45,2024-04-14,Sunday,20,C003287,Butter Croissant,Bakery,One Size,2,3.45,6.9,hot,Light ice,N/A,In-store,Debit Card,3,5,No,Light Rain,58
ORD0010006,SD010,Starbucks - Chula Vista Center,Chula Vista,mall,2024-12-06 08:20:17,2024-12-06,Friday,8,C006103,Spinach Feta Wrap,Breakfast,One Size,1,5.25,5.25,hot,Half-caf,N/A,Drive-thru,Mobile Pay,9,4,No,Marine Layer,61
ORD0010007,SD010,Starbucks - Chula Vista Center,Chula Vista,mall,2024-06-15 09:17:33,2024-06-15,Saturday,9,C000386,Chocolate Cookie,Bakery,One Size,1,2.95,2.95,cold,Extra shot,N/A,In-store,Debit Card,8,3,No,Overcast,72
ORD0010008,SD007,Starbucks - Hillcrest,Hillcrest,suburban,2024-08-19 14:56:06,2024-08-19,Monday,14,C005905,Vanilla Bean Frappuccino,Frappuccino,Venti,2,5.95,11.9,cold,Extra shot,Nonfat Milk,Drive-thru,Mobile Pay,3,3,No,Sunny,84
ORD0010009,SD006,Starbucks - UTC Westfield,UTC,mall,2024-02-13 07:44:29,2024-02-13,Tuesday,7,C004159,Cake Pop,Bakery,One Size,3,3.95,11.85,cold,Extra shot,N/A,Drive-thru,Mobile Pay,7,5,No,Partly Cloudy,60
ORD0010010,SD009,Starbucks - Del Mar Plaza,Del Mar,suburban,2024-08-24 12:00:49,2024-08-24,Saturday,12,C000917,Turkey Sandwich,Lunch,One Size,1,7.95,7.95,cold,No whip,N/A,Mobile Order,Debit Card,3,5,No,Sunny,85
ORD0010011,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-03 13:05:09,2024-04-03,Wednesday,13,C004504,Mango Dragonfruit Refresher,Refresher,Grande,1,4.95,4.95,cold,Sugar-free syrup,Oat Milk,Drive-thru,Cash,3,5,No,Marine Layer,63
ORD0010012,SD007,Starbucks - Hillcrest,Hillcrest,suburban,2024-03-23 06:06:08,2024-03-23,Saturday,6,C002031,Blonde Roast,Brewed Coffee,Venti,2,3.95,7.9,hot,Extra syrup,Whole Milk,Mobile Order,Credit Card,4,5,No,Marine Layer,65
ORD0010013,SD010,Starbucks - Chula Vista Center,Chula Vista,mall,2024-08-03 02:55:22,2024-08-03,Saturday,2,C004212,Pike Place Roast,Brewed Coffee,Tall,1,2.95,2.95,iced_variant,Extra syrup,Oat Milk,Drive-thru,Starbucks App,1,4,No,Sunny,78
ORD0010014,SD004,Starbucks - Mission Valley Mall,Mission Valley,mall,2024-07-28 10:01:28,2024-07-28,Sunday,10,C002903,Bacon Gouda Sandwich,Breakfast,One Size,1,5.25,5.25,hot,Extra whip,N/A,Mobile Order,Starbucks App,1,5,No,Sunny,83
ORD0010015,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-09-18 12:12:44,2024-09-18,Wednesday,12,C001149,Blueberry Muffin,Bakery,One Size,1,3.25,3.25,hot,Extra whip,N/A,In-store,Mobile Pay,3,5,No,Partly Cloudy,78
ORD0010016,SD008,Starbucks - San Diego Airport,Airport,transportation,2024-04-07 00:21:53,2024-04-07,Sunday,0,C007939,Caffe Americano,Hot Espresso,Venti,3,4.45,13.35,hot,Extra shot,2% Milk,In-store,Starbucks App,2,5,No,Marine Layer,66
ORD0010017,SD008,Starbucks - San Diego Airport,Airport,transportation,2024-07-05 22:35:08,2024-07-05,Friday,22,C005985,Caramel Frappuccino,Frappuccino,Grande,1,5.75,5.75,cold,Half-caf,Nonfat Milk,Drive-thru,Starbucks App,4,5,Yes,Sunny,78
ORD0010018,SD003,Starbucks - UCSD Campus,La Jolla,university,2024-03-14 17:58:35,2024-03-14,Thursday,17,C004120,Cappuccino,Hot Espresso,Grande,1,4.95,4.95,hot,Half-caf,2% Milk,In-store,Cash,2,5,No,Sunny,68
ORD0010019,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,beach,2024-11-26 15:05:15,2024-11-26,Tuesday,15,C005074,Iced Latte,Iced Espresso,Venti,1,5.65,5.65,cold,Extra shot,Almond Milk,Drive-thru,Cash,1,5,No,Sunny,69
ORD0010020,SD010,Starbucks - Chula Vista Center,Chula Vista,mall,2024-07-22 00:41:17,2024-07-22,Monday,0,C002458,Iced Caramel Macchiato,Iced Espresso,Grande,1,5.95,5.95,cold,Decaf,Oat Milk,In-store,Credit Card,6,5,No,Sunny,78
ORD0010021,SD008,Starbucks - San Diego Airport,Airport,transportation,2024-08-29 05:37:25,2024-08-29,Thursday,5,C003028,Cappuccino,Hot Espresso,Grande,2,4.95,9.9,hot,Light ice,2% Milk,Mobile Order,Cash,3,5,No,Light Rain,72
ORD0010022,SD005,Starbucks - North Park,North Park,suburban,2024-08-25 13:14:59,2024-08-25,Sunday,13,C000946,Turkey Sandwich,Lunch,One Size,3,7.95,23.85,cold,Extra shot,N/A,Drive-thru,Cash,4,4,No,Light Rain,68
ORD0010023,SD003,Starbucks - UCSD Campus,La Jolla,university,2024-04-15 18:28:09,2024-04-15,Monday,18,C007440,Matcha Tea Latte,Hot Tea,Grande,1,5.25,5.25,hot,No customization,Whole Milk,Drive-thru,Starbucks App,1,4,No,Sunny,72
ORD0010024,SD005,Starbucks - North Park,North Park,suburban,2024-01-18 02:55:06,2024-01-18,Thursday,2,C000080,Cappuccino,Hot Espresso,Grande,1,4.95,4.95,hot,Extra shot,Whole Milk,Drive-thru,Debit Card,3,4,No,Sunny,65
ORD0010025,SD009,Starbucks - Del Mar Plaza,Del Mar,suburban,2024-01-14 23:48:23,2024-01-14,Sunday,23,C002045,Spinach Feta Wrap,Breakfast,One Size,2,5.25,10.5,hot,Extra shot,N/A,Mobile Order,Cash,4,4,No,Marine Layer,58
ORD0010026,SD007,Starbucks - Hillcrest,Hillcrest,suburban,2024-08-29 00:59:04,2024-08-29,Thursday,0,C006034,Chocolate Cookie,Bakery,One Size,2,2.95,5.9,cold,No whip,N/A,Mobile Order,Debit Card,2,3,No,Partly Cloudy,76
ORD0010027,SD005,Starbucks - North Park,North Park,suburban,2024-03-02 19:49:53,2024-03-02,Saturday,19,C002501,Java Chip Frappuccino,Frappuccino,Tall,2,5.45,10.9,cold,Extra syrup,2% Milk,In-store,Debit Card,4,5,No,Overcast,62
ORD0010028,SD007,Starbucks - Hillcrest,Hillcrest,suburban,2024-05-07 11:37:23,2024-05-07,Tuesday,11,C002713,Strawberry Acai Refresher,Refresher,Trenta,1,5.95,5.95,cold,No customization,Whole Milk,Mobile Order,Debit Card,3,5,No,Sunny,74
ORD0010029,SD010,Starbucks - Chula Vista Center,Chula Vista,mall,2024-04-13 02:19:33,2024-04-13,Saturday,2,C003156,Bacon Gouda Sandwich,Breakfast,One Size,1,5.25,5.25,hot,Oat milk swap,N/A,In-store,Mobile Pay,3,5,No,Sunny,73
ORD0010030,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-10-02 06:21:27,2024-10-02,Wednesday,6,C005442,Blueberry Muffin,Bakery,One Size,1,3.25,3.25,hot,No whip,N/A,Drive-thru,Mobile Pay,3,3,No,Partly Cloudy,73
ORD0010031,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,beach,2024-10-06 12:35:45,2024-10-06,Sunday,12,C006129,Iced Caramel Macchiato,Iced Espresso,Grande,1,5.95,5.95,cold,Sugar-free syrup,Coconut Milk,Drive-thru,Mobile Pay,6,4,No,Marine Layer,71
ORD0010032,SD007,Starbucks - Hillcrest,Hillcrest,suburban,2024-07-31 19:08:41,2024-07-31,Wednesday,19,C003620,Mocha Frappuccino,Frappuccino,Venti,1,6.25,6.25,cold,Decaf,Nonfat Milk,In-store,Cash,3,4,No,Overcast,75
ORD0010033,SD008,Starbucks - San Diego Airport,Airport,transportation,2024-11-04 06:09:00,2024-11-04,Monday,6,C001925,Pike Place Roast,Brewed Coffee,Grande,1,3.45,3.45,hot,Light ice,2% Milk,In-store,Debit Card,2,5,No,Marine Layer,66
ORD0010034,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-18 22:44:35,2024-01-18,Thursday,22,C003274,Spinach Feta Wrap,Breakfast,One Size,2,5.25,10.5,hot,Extra syrup,N/A,In-store,Credit Card,5,4,No,Partly Cloudy,60
ORD0010035,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,beach,2024-10-29 07:24:14,2024-10-29,Tuesday,7,C001093,Mango Dragonfruit Refresher,Refresher,Grande,3,4.95,14.85,cold,Decaf,Nonfat Milk,Drive-thru,Cash,5,4,No,Partly Cloudy,70
ORD0010036,SD010,Starbucks - Chula Vista Center,Chula Vista,mall,2024-05-03 05:25:52,2024-05-03,Friday,5,C007350,Spinach Feta Wrap,Breakfast,One Size,2,5.25,10.5,hot,Sugar-free syrup,N/A,Drive-thru,Starbucks App,4,5,No,Light Rain,64
ORD0010037,SD008,Starbucks - San Diego Airport,Airport,transportation,2024-04-10 15:50:25,2024-04-10,Wednesday,15,C005846,Vanilla Bean Frappuccino,Frappuccino,Venti,1,5.95,5.95,cold,Light ice,2% Milk,Mobile Order,Mobile Pay,1,4,No,Overcast,70
ORD0010038,SD006,Starbucks - UTC Westfield,UTC,mall,2024-12-12 19:36:48,2024-12-12,Thursday,19,C003340,Nitro Cold Brew,Iced Espresso,Tall,2,5.25,10.5,cold,No whip,Coconut Milk,Mobile Order,Starbucks App,2,3,No,Overcast,59
