shift_id,store_id,store_name,neighborhood,date,day_of_week,shift_start,shift_end,employee_id,employee_role,skill_level,scheduled_hours,availability_status,callout_flag,expected_orders_per_hour,required_staff,scheduled_staff,staffing_gap,staffing_status
SHF0000001,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-01,Monday,10:00,14:00,EMP00109,Barista,Entry,4,Available,No,43,2,2,0,Balanced
SHF0000002,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-01,Monday,07:00,11:00,EMP00030,Lead Barista,Intermediate,4,Available,No,106,5,3,-2,Understaffed
SHF0000003,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-01,Monday,09:00,13:00,EMP00164,Barista,Entry,4,Available,No,92,4,4,0,Balanced
SHF0000004,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-01,Monday,05:00,09:00,EMP00479,Barista,Entry,4,Available,No,44,2,4,2,Overstaffed
SHF0000005,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-01,Monday,11:00,15:00,EMP00360,Shift Supervisor,Intermediate,4,Available,No,62,3,3,0,Balanced
SHF0000006,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-01,Monday,06:00,10:00,EMP00108,Shift Supervisor,Intermediate,4,Available,No,21,2,2,0,Balanced
SHF0000007,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-01,Monday,15:00,19:00,EMP00213,Barista,Intermediate,4,Available,No,20,2,4,2,Overstaffed
SHF0000008,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-01,Monday,18:00,22:00,EMP00197,Barista,Entry,4,Available,No,38,2,2,0,Balanced
SHF0000009,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-01,Monday,17:00,21:00,EMP00323,Barista,Intermediate,4,Available,No,20,2,2,0,Balanced
SHF0000010,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-01,Monday,14:00,18:00,EMP00026,Barista,Entry,4,Available,No,29,2,1,-1,Understaffed
SHF0000011,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-08,Monday,18:00,22:00,EMP00135,Shift Supervisor,Intermediate,4,Available,No,24,2,2,0,Balanced
SHF0000012,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-08,Monday,06:00,10:00,EMP00034,Barista,Entry,4,Available,No,39,2,3,1,Overstaffed
SHF0000013,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-08,Monday,13:00,17:00,EMP00357,Shift Supervisor,Senior,4,Available,No,60,3,3,0,Balanced
SHF0000014,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-08,Monday,13:00,17:00,EMP00427,Shift Supervisor,Intermediate,4,Available,No,62,3,3,0,Balanced
SHF0000015,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-08,Monday,09:00,13:00,EMP00303,Barista,Intermediate,4,Available,No,102,5,4,-1,Understaffed
SHF0000016,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-08,Monday,09:00,13:00,EMP00295,Shift Supervisor,Senior,4,Available,No,105,5,7,2,Overstaffed
SHF0000017,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-08,Monday,10:00,14:00,EMP00001,Barista,Senior,4,Available,No,47,2,2,0,Balanced
