Category,Subcategory,Item,Size,Size_oz,Calories,Fat_g,Saturated_Fat_g,Trans_Fat_g,Carbs_g,Fiber_g,Sugar_g,Protein_g,Sodium_mg,Caffeine_mg,Seasonal,Key_Ingredients,Vegan,Gluten_Free,Notes
Hot Coffee,Brewed Coffee,Featured Blonde Roast,Short,8,5,0,0,0,0,0,0,1,5,180,No,"Light roast coffee beans, water",Yes,Yes,"Light roast; bright citrus notes"
Hot Coffee,Brewed Coffee,Featured Blonde Roast,Tall,12,5,0,0,0,1,0,0,1,10,270,No,"Light roast coffee beans, water",Yes,Yes,""
Hot Coffee,Brewed Coffee,Featured Blonde Roast,Grande,16,5,0,0,0,1,0,0,1,15,360,No,"Light roast coffee beans, water",Yes,Yes,""
Hot Coffee,Brewed Coffee,Featured Blonde Roast,Venti,20,10,0,0,0,1,0,0,1,25,475,No,"Light roast coffee beans, water",Yes,Yes,""
Hot Coffee,Brewed Coffee,Pike Place Roast (Medium),Short,8,5,0,0,0,0,0,0,1,10,155,No,"Medium roast coffee beans (Latin American), water",Yes,Yes,"Balanced; nutty notes; cocoa"
Hot Coffee,Brewed Coffee,Pike Place Roast (Medium),Tall,12,5,0,0,0,0,0,0,1,10,235,No,"Medium roast coffee beans (Latin American), water",Yes,Yes,""
Hot Coffee,Brewed Coffee,Pike Place Roast (Medium),Grande,16,10,0,0,0,0,0,0,1,15,310,No,"Medium roast coffee beans (Latin American), water",Yes,Yes,""
Hot Coffee,Brewed Coffee,Pike Place Roast (Medium),Venti,20,10,0,0,0,1,0,0,1,25,410,No,"Medium roast coffee beans (Latin American), water",Yes,Yes,""
Hot Coffee,Brewed Coffee,Featured Dark Roast,Short,8,5,0,0,0,0,0,0,1,5,130,No,"Dark roast coffee beans, water",Yes,Yes,"Bold; smoky; low acidity"
Hot Coffee,Brewed Coffee,Featured Dark Roast,Tall,12,5,0,0,0,0,0,0,1,10,195,No,"Dark roast coffee beans, water",Yes,Yes,""
Hot Coffee,Brewed Coffee,Featured Dark Roast,Grande,16,10,0,0,0,0,0,0,1,15,260,No,"Dark roast coffee beans, water",Yes,Yes,""
Hot Coffee,Brewed Coffee,Featured Dark Roast,Venti,20,10,0,0,0,1,0,0,1,25,340,No,"Dark roast coffee beans, water",Yes,Yes,""
Hot Coffee,Brewed Coffee,Decaf Pike Place Roast,Tall,12,5,0,0,0,0,0,0,1,10,25,No,"Decaf medium roast coffee beans, water",Yes,Yes,"<25mg caffeine"
Hot Coffee,Brewed Coffee,Decaf Pike Place Roast,Grande,16,5,0,0,0,0,0,0,1,15,30,No,"Decaf medium roast coffee beans, water",Yes,Yes,""
Hot Coffee,Brewed Coffee,Caffe Misto,Short,8,50,2,1,0,8,0,7,4,55,55,No,"Brewed coffee, steamed 2% milk",No,Yes,"Half coffee half steamed milk"
Hot Coffee,Brewed Coffee,Caffe Misto,Tall,12,80,3,2,0,12,0,10,6,85,80,No,"Brewed coffee, steamed 2% milk",No,Yes,""
Hot Coffee,Brewed Coffee,Caffe Misto,Grande,16,110,4,3,0,14,0,12,8,120,115,No,"Brewed coffee, steamed 2% milk",No,Yes,""
Hot Coffee,Brewed Coffee,Caffe Misto,Venti,20,130,5,3,0,17,0,15,9,140,155,No,"Brewed coffee, steamed 2% milk",No,Yes,""
Hot Coffee,Espresso,Caffe Americano,Short,8,5,0,0,0,1,0,0,0,5,75,No,"Espresso shots, hot water",Yes,Yes,"2 shots"
Hot Coffee,Espresso,Caffe Americano,Tall,12,10,0,0,0,2,0,0,0,10,150,No,"Espresso shots, hot water",Yes,Yes,"2 shots"
Hot Coffee,Espresso,Caffe Americano,Grande,16,15,0,0,0,3,0,0,1,15,225,No,"Espresso shots, hot water",Yes,Yes,"3 shots"
Hot Coffee,Espresso,Caffe Americano,Venti,20,15,0,0,0,3,0,0,1,25,300,No,"Espresso shots, hot water",Yes,Yes,"4 shots"
Hot Coffee,Espresso,Caffe Latte,Short,8,100,4,2,0,10,0,9,7,100,75,No,"Espresso, steamed 2% milk",No,Yes,""
Hot Coffee,Espresso,Caffe Latte,Tall,12,150,6,3,0,15,0,12,10,135,75,No,"Espresso, steamed 2% milk",No,Yes,""
Hot Coffee,Espresso,Caffe Latte,Grande,16,190,7,4,0,19,0,17,13,170,150,No,"Espresso, steamed 2% milk",No,Yes,""
Hot Coffee,Espresso,Caffe Latte,Venti,20,250,10,6,0,25,0,22,17,230,225,No,"Espresso, steamed 2% milk",No,Yes,""
Hot Coffee,Espresso,Blonde Vanilla Latte,Short,8,130,4,2,0,22,0,21,7,130,85,No,"Blonde espresso, vanilla syrup, steamed 2% milk",No,Yes,"Made with lighter blonde roast"
Hot Coffee,Espresso,Blonde Vanilla Latte,Tall,12,200,7,3,0,31,0,30,10,180,85,No,"Blonde espresso, vanilla syrup, steamed 2% milk",No,Yes,""
