scenario_id,store_id,date,hour,scenario_type,user_role,customer_prompt,manager_context,expected_skills,expected_automations,success_criteria
SCN001,SD001,2024-01-15,8,morning_rush_readiness,manager,N/A,Manager opens the dashboard at 8 AM and wants a full pre-rush status check before the 9 AM peak.,none,demand_rush_detection; staffing_gap_calculator; inventory_monitoring; manager_daily_briefing,"Output identifies rush risk level, any staffing gaps for the 8-10 AM window, low-stock inventory alerts, and a prioritized list of recommended manager actions before rush."
SCN002,SD001,2024-03-04,7,understaffed_morning_rush,manager,N/A,One barista called out sick. Manager wants to know if the store can handle expected morning volume and what to do.,none,staffing_gap_calculator; demand_rush_detection; manager_daily_briefing,"System detects understaffing gap, quantifies the shortfall against forecasted order volume, flags high-demand window, and recommends concrete actions (call in backup, simplify menu, prioritize mobile orders)."
SCN003,SD003,2024-06-10,10,inventory_aware_recommendation,customer,"I want something cold and coffee-flavored, not too sweet.",N/A,recommendation; product_catalog,inventory_monitoring,"System recommends a cold coffee drink (e.g. Cold Brew, Iced Caffe Americano) with sufficient inventory stock. Does not recommend items with low or out-of-stock ingredients. Uses latest inventory snapshot on or before 2024-06-10 for SD003."
SCN004,SD005,2024-02-20,14,non_coffee_recommendation,customer,I don't drink coffee at all. What do you have that's refreshing and fruity?,N/A,recommendation; product_catalog,none,"System recommends at least two non-coffee options (e.g. Strawberry Acai Refresher, Mango Dragonfruit Refresher, Pink Drink), explains flavor profiles, and does not suggest espresso or coffee-based drinks."
SCN005,SD002,2024-04-05,11,dairy_free_recommendation,customer,I'm lactose intolerant. Can you recommend something warm and comforting?,N/A,recommendation; product_catalog,inventory_monitoring,"System recommends warm drinks compatible with oat milk or almond milk substitution, confirms dairy-free viability, and checks that non-dairy milk is in stock. Uses latest inventory snapshot on or before 2024-04-05 for SD002."
SCN006,SD001,2024-07-22,9,low_stock_substitution,customer,Can I get a Caramel Macchiato with oat milk?,N/A,recommendation; order_builder; product_catalog,inventory_monitoring,"System checks oat milk stock using latest inventory on or before 2024-07-22 for SD001. If low, proactively suggests an alternative milk with explanation. If in stock, proceeds normally. Does not silently fail."
SCN007,SD008,2024-05-14,8,natural_language_order_building,customer,I'd like a large iced vanilla latte with oat milk and an extra shot please.,N/A,order_builder; product_catalog,none,"System correctly maps 'large' to Venti, 'iced vanilla latte' to Iced Caffe Latte with vanilla syrup, adds oat milk and extra espresso shot, and presents a structured order summary for confirmation."
SCN008,SD003,2024-03-18,12,missing_field_clarification,customer,I want a latte.,N/A,order_builder; product_catalog,none,"System identifies missing required fields (size, hot vs. iced, milk type) and asks clarifying questions one at a time in a natural, conversational way before finalizing the order."
SCN009,SD001,2024-01-22,9,order_summary_confirmation,customer,"Let me get a grande iced caramel macchiato with almond milk, light ice, and extra caramel drizzle.",N/A,order_builder; order_summary,none,"System produces a clean, readable order summary listing item name, size, milk choice, modifications, and estimated price. Customer should be able to confirm or correct any detail before submission."
SCN010,SD001,2024-01-15,11,post_rush_manager_review,manager,N/A,"Rush period (8-10 AM) just ended. Manager wants a debrief: how did the store perform, what ran low, were staffing levels adequate?",none,manager_daily_briefing; inventory_monitoring; staffing_gap_calculator; demand_rush_detection,"System produces a post-rush summary with actual vs. forecasted orders, ingredients that hit reorder threshold during rush, staffing adequacy assessment, and top 3 action items for the next rush window."
SCN011,SD005,2024-10-07,10,promotion_aware_recommendation,customer,Is there anything on promotion today? I'm trying to save a bit.,N/A,recommendation; product_catalog,none,"System identifies active promotions for the store and date, recommends at least one promoted item with the discount and final price. Does not recommend promotions outside their active date window. Uses latest prior inventory snapshot for SD005 (2024-09-02) since 2024-10-07 is beyond inventory dataset range."
SCN012,SD007,2024-02-12,15,new_barista_menu_support,barista,N/A,New barista (entry-level) asks: how do I make a Flat White and what milk does it use by default?,product_catalog,none,"System looks up the Flat White in the menu, returns key ingredients (ristretto espresso, whole milk), preparation notes, and confirms the default milk. Response is clear enough for a new barista to follow without prior knowledge."
