promotion_id,store_id,store_name,neighborhood,promo_name,promo_type,item_name,item_category,start_date,end_date,base_price,discount_pct,discounted_price,estimated_unit_cost,gross_margin_dollars,gross_margin_pct,expected_lift_pct,actual_lift_pct,inventory_risk,recommended_action
PRO000001,SD001,Starbucks - Gaslamp Quarter,Downtown,Back to School Deal,BOGO,Caramel Macchiato,Hot Espresso,2024-10-02,2024-10-09,5.75,25,4.31,1.65,2.66,61.72,40.1,41.4,High,Limit to high-traffic stores
PRO000002,SD001,Starbucks - Gaslamp Quarter,Downtown,Weekend Brunch Bundle,New Item Launch,Caffe Americano,Hot Espresso,2024-03-10,2024-03-31,3.45,30,2.42,0.8,1.62,66.94,38.9,48.4,High,Increase inventory buffer 15%
PRO000003,SD001,Starbucks - Gaslamp Quarter,Downtown,Summer Refresher Special,New Item Launch,Matcha Tea Latte,Hot Tea,2024-08-23,2024-08-30,5.75,20,4.6,1.8,2.8,60.87,44.1,39.5,High,Increase inventory buffer 15%
PRO000004,SD001,Starbucks - Gaslamp Quarter,Downtown,Matcha Mania,Bundle,Bacon Gouda Sandwich,Breakfast,2024-02-24,2024-03-16,5.25,20,4.2,2.1,2.1,50.0,37.2,37.8,High,Increase inventory buffer 15%
PRO000005,SD001,Starbucks - Gaslamp Quarter,Downtown,Cold Brew Weekend,Bundle,Caramel Macchiato,Hot Espresso,2024-10-25,2024-11-08,6.25,50,3.12,1.9,1.22,39.1,24.2,18.6,Medium,Increase inventory buffer 15%
PRO000006,SD001,Starbucks - Gaslamp Quarter,Downtown,Afternoon Iced Special,New Item Launch,Iced Chai Tea Latte,Iced Tea,2024-09-28,2024-10-12,4.95,50,2.48,1.25,1.23,49.6,14.1,19.1,Medium,Bundle with low-moving item
PRO000007,SD001,Starbucks - Gaslamp Quarter,Downtown,Student Discount Week,Loyalty,Caramel Frappuccino,Frappuccino,2024-04-04,2024-04-25,5.25,30,3.67,1.55,2.12,57.77,40.0,40.2,High,Limit to high-traffic stores
PRO000008,SD001,Starbucks - Gaslamp Quarter,Downtown,Happy Hour Frappuccino,Seasonal,Butter Croissant,Bakery,2024-02-08,2024-03-09,3.45,10,3.11,1.1,2.01,64.63,37.1,37.4,High,Increase inventory buffer 15%
PRO000009,SD001,Starbucks - Gaslamp Quarter,Downtown,Birthday Month Promo,Discount,Spinach Feta Wrap,Breakfast,2024-07-12,2024-07-26,5.25,25,3.94,2.05,1.89,47.97,37.3,42.8,High,Monitor daily sell-through
PRO000010,SD001,Starbucks - Gaslamp Quarter,Downtown,Padres Game Day Offer,Loyalty,Blonde Roast,Brewed Coffee,2024-03-02,2024-04-01,3.45,20,2.76,0.8,1.96,71.01,11.4,-0.3,Medium,Extend promotion by 1 week
PRO000011,SD001,Starbucks - Gaslamp Quarter,Downtown,Evening Wind-Down Offer,Happy Hour,Iced Chai Tea Latte,Iced Tea,2024-05-06,2024-05-27,5.45,30,3.81,1.5,2.31,60.63,39.2,32.3,High,Monitor daily sell-through
PRO000012,SD001,Starbucks - Gaslamp Quarter,Downtown,Afternoon Iced Special,Bundle,Blonde Roast,Brewed Coffee,2024-07-19,2024-08-09,3.95,25,2.96,0.95,2.01,67.91,11.6,11.1,Medium,Bundle with low-moving item
PRO000013,SD001,Starbucks - Gaslamp Quarter,Downtown,Weekend Brunch Bundle,BOGO,Flat White,Hot Espresso,2024-03-15,2024-03-29,5.75,15,4.89,1.6,3.29,67.28,32.4,14.5,Medium,Increase inventory buffer 15%
PRO000014,SD001,Starbucks - Gaslamp Quarter,Downtown,Beach Vibes Bundle,Bundle,Caffe Americano,Hot Espresso,2024-04-27,2024-05-04,3.95,30,2.77,0.95,1.82,65.7,10.0,4.5,High,Increase inventory buffer 15%
PRO000015,SD001,Starbucks - Gaslamp Quarter,Downtown,Padres Game Day Offer,Loyalty,Pike Place Roast,Brewed Coffee,2024-03-21,2024-04-11,2.45,10,2.21,0.55,1.66,75.11,12.0,2.6,Medium,Limit to high-traffic stores
PRO000016,SD001,Starbucks - Gaslamp Quarter,Downtown,New Drink Launch,Bundle,Iced Caramel Macchiato,Iced Espresso,2024-02-12,2024-03-13,5.45,15,4.63,1.45,3.18,68.68,36.8,28.5,High,Monitor daily sell-through
PRO000017,SD001,Starbucks - Gaslamp Quarter,Downtown,New Drink Launch,Seasonal,Protein Box,Lunch,2024-08-09,2024-08-23,6.95,25,5.21,2.8,2.41,46.26,41.8,30.2,High,Limit to high-traffic stores
PRO000018,SD001,Starbucks - Gaslamp Quarter,Downtown,Padres Game Day Offer,Loyalty,Pumpkin Spice Latte,Hot Espresso,2024-01-23,2024-02-13,5.45,10,4.91,1.55,3.36,68.43,37.5,38.9,Medium,Limit to high-traffic stores
PRO000019,SD001,Starbucks - Gaslamp Quarter,Downtown,Weekend Brunch Bundle,Seasonal,Caramel Macchiato,Hot Espresso,2024-07-07,2024-08-06,5.25,5,4.99,1.4,3.59,71.94,40.2,53.7,Medium,Bundle with low-moving item
PRO000020,SD001,Starbucks - Gaslamp Quarter,Downtown,Cold Brew Weekend,New Item Launch,Pink Drink,Refresher,2024-06-10,2024-07-01,6.25,10,5.62,1.85,3.77,67.08,17.7,21.1,Medium,Bundle with low-moving item
PRO000021,SD001,Starbucks - Gaslamp Quarter,Downtown,App Exclusive Deal,Discount,Iced Matcha Tea Latte,Iced Tea,2024-01-25,2024-02-08,4.95,30,3.46,1.35,2.11,60.98,10.1,10.4,High,Limit to high-traffic stores
PRO000022,SD001,Starbucks - Gaslamp Quarter,Downtown,Afternoon Iced Special,Discount,Matcha Tea Latte,Hot Tea,2024-03-20,2024-04-03,4.75,5,4.51,1.3,3.21,71.18,29.5,43.3,Medium,Extend promotion by 1 week
PRO000023,SD001,Starbucks - Gaslamp Quarter,Downtown,Loyalty Double Stars,New Item Launch,Cold Brew Coffee,Iced Espresso,2024-06-17,2024-07-17,4.75,50,2.38,1.25,1.13,47.48,36.8,37.4,High,Increase inventory buffer 15%
PRO000024,SD001,Starbucks - Gaslamp Quarter,Downtown,Back to School Deal,Happy Hour,Mango Dragonfruit Refresher,Refresher,2024-10-27,2024-11-17,4.95,20,3.96,1.2,2.76,69.7,27.7,23.7,High,Monitor daily sell-through
PRO000025,SD001,Starbucks - Gaslamp Quarter,Downtown,Weekend Brunch Bundle,New Item Launch,Iced Chai Tea Latte,Iced Tea,2024-04-03,2024-04-17,4.95,30,3.46,1.25,2.21,63.87,22.8,23.3,Medium,Increase inventory buffer 15%
PRO000026,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,App Exclusive Deal,Bundle,Cappuccino,Hot Espresso,2024-01-31,2024-02-14,5.25,20,4.2,1.5,2.7,64.29,22.5,30.9,High,Increase inventory buffer 15%
PRO000027,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Morning Rush Deal,Loyalty,Matcha Tea Latte,Hot Tea,2024-07-11,2024-08-10,5.25,5,4.99,1.55,3.44,68.94,35.5,28.1,High,Limit to high-traffic stores
PRO000028,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Breakfast Combo Saver,Bundle,Chocolate Cookie,Bakery,2024-01-21,2024-02-20,2.95,25,2.21,0.9,1.31,59.28,44.3,50.9,High,Monitor daily sell-through
PRO000029,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Padres Game Day Offer,BOGO,Mango Dragonfruit Refresher,Refresher,2024-06-07,2024-06-28,4.25,15,3.61,1.0,2.61,72.3,39.9,47.6,Medium,Extend promotion by 1 week
PRO000030,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,App Exclusive Deal,BOGO,Cappuccino,Hot Espresso,2024-06-14,2024-07-05,5.25,20,4.2,1.5,2.7,64.29,16.6,2.2,Medium,Bundle with low-moving item
PRO000031,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Reusable Cup Discount,Happy Hour,Iced Latte,Iced Espresso,2024-09-19,2024-10-03,5.65,30,3.96,1.6,2.36,59.6,22.6,32.6,High,Limit to high-traffic stores
PRO000032,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Student Discount Week,Happy Hour,Vanilla Bean Frappuccino,Frappuccino,2024-07-27,2024-08-10,5.95,15,5.06,2.05,3.01,59.49,37.8,34.8,Medium,Bundle with low-moving item
PRO000033,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,App Exclusive Deal,Discount,Iced Americano,Iced Espresso,2024-09-30,2024-10-14,4.15,15,3.53,1.0,2.53,71.67,37.5,29.0,High,Increase inventory buffer 15%
PRO000034,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Reusable Cup Discount,BOGO,Vanilla Bean Frappuccino,Frappuccino,2024-10-13,2024-11-03,5.95,20,4.76,2.05,2.71,56.93,31.3,28.4,High,Monitor daily sell-through
PRO000035,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Breakfast Combo Saver,Seasonal,Iced Caramel Macchiato,Iced Espresso,2024-08-30,2024-09-06,5.95,5,5.65,1.7,3.95,69.91,30.6,21.9,Medium,Limit to high-traffic stores
PRO000036,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Reusable Cup Discount,Happy Hour,Iced Latte,Iced Espresso,2024-04-25,2024-05-25,4.65,20,3.72,1.15,2.57,69.09,29.9,41.0,High,Increase inventory buffer 15%
PRO000037,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Back to School Deal,Discount,Nitro Cold Brew,Iced Espresso,2024-08-17,2024-08-24,5.25,15,4.46,1.4,3.06,68.61,17.6,36.8,High,Increase inventory buffer 15%
