forecast_id,store_id,store_name,neighborhood,store_type,date,day_of_week,hour,forecast_orders,forecast_drinks,forecast_food_items,actual_orders,actual_drinks,actual_food_items,forecast_error_pct,weather_condition,temperature_f,local_event_flag,event_type,season,demand_level
FC0000001,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-01,Monday,6,35,25,10,35,24,11,0.0,Partly Cloudy,65,No,None,Winter,Moderate
FC0000002,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-01,Monday,7,131,92,39,115,78,37,-12.21,Partly Cloudy,65,No,None,Winter,Very High
FC0000003,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-01,Monday,8,241,178,63,238,188,50,-1.24,Partly Cloudy,65,No,None,Winter,Very High
FC0000004,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-01,Monday,9,260,184,76,277,196,81,6.54,Partly Cloudy,65,No,None,Winter,Very High
FC0000005,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-01,Monday,10,78,56,22,79,60,19,1.28,Partly Cloudy,65,No,None,Winter,High
FC0000006,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-01,Monday,11,120,82,38,124,98,26,3.33,Partly Cloudy,65,No,None,Winter,Very High
FC0000007,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-01,Monday,15,104,78,26,103,80,23,-0.96,Partly Cloudy,65,No,None,Winter,Very High
FC0000008,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-01,Monday,18,88,63,25,77,55,22,-12.5,Partly Cloudy,65,No,None,Winter,High
FC0000009,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-01,Monday,20,30,22,8,31,24,7,3.33,Partly Cloudy,65,No,None,Winter,Moderate
FC0000010,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-01,Monday,21,23,17,6,24,17,7,4.35,Partly Cloudy,65,No,None,Winter,Low
FC0000011,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-08,Monday,6,31,21,10,28,20,8,-9.68,Light Rain,57,Yes,Comic-Con,Winter,Low
FC0000012,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-08,Monday,10,96,69,27,108,72,36,12.5,Light Rain,57,Yes,Comic-Con,Winter,Very High
FC0000013,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-08,Monday,11,141,97,44,147,114,33,4.26,Light Rain,57,Yes,Comic-Con,Winter,Very High
FC0000014,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-08,Monday,14,140,99,41,154,115,39,10.0,Light Rain,57,Yes,Comic-Con,Winter,Very High
FC0000015,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-08,Monday,15,98,66,32,96,71,25,-2.04,Light Rain,57,Yes,Comic-Con,Winter,High
FC0000016,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-08,Monday,16,98,74,24,109,84,25,11.22,Light Rain,57,Yes,Comic-Con,Winter,Very High
FC0000017,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-08,Monday,17,94,72,22,93,68,25,-1.06,Light Rain,57,Yes,Comic-Con,Winter,High
FC0000018,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-08,Monday,18,118,87,31,121,89,32,2.54,Light Rain,57,Yes,Comic-Con,Winter,Very High
FC0000019,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-08,Monday,19,61,43,18,59,43,16,-3.28,Light Rain,57,Yes,Comic-Con,Winter,Moderate
FC0000020,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-08,Monday,20,54,37,17,58,40,18,7.41,Light Rain,57,Yes,Comic-Con,Winter,Moderate
FC0000021,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-15,Monday,7,198,150,48,199,146,53,0.51,Light Rain,59,Yes,Padres Home Game,Winter,Very High
FC0000022,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-15,Monday,8,211,149,62,237,170,67,12.32,Light Rain,59,Yes,Padres Home Game,Winter,Very High
FC0000023,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-15,Monday,10,105,81,24,104,77,27,-0.95,Light Rain,59,Yes,Padres Home Game,Winter,Very High
FC0000024,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-15,Monday,11,132,93,39,139,98,41,5.3,Light Rain,59,Yes,Padres Home Game,Winter,Very High
FC0000025,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-15,Monday,12,154,118,36,177,140,37,14.94,Light Rain,59,Yes,Padres Home Game,Winter,Very High
FC0000026,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-15,Monday,13,165,125,40,178,127,51,7.88,Light Rain,59,Yes,Padres Home Game,Winter,Very High
FC0000027,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-15,Monday,15,159,119,40,153,105,48,-3.77,Light Rain,59,Yes,Padres Home Game,Winter,Very High
FC0000028,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-15,Monday,16,148,111,37,136,89,47,-8.11,Light Rain,59,Yes,Padres Home Game,Winter,Very High
FC0000029,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-15,Monday,18,79,57,22,79,54,25,0.0,Light Rain,59,Yes,Padres Home Game,Winter,High
FC0000030,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-15,Monday,20,26,17,9,27,19,8,3.85,Light Rain,59,Yes,Padres Home Game,Winter,Low
FC0000031,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-22,Monday,6,20,14,6,20,13,7,0.0,Overcast,61,No,None,Winter,Low
FC0000032,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-22,Monday,7,106,81,25,110,84,26,3.77,Overcast,61,No,None,Winter,Very High
FC0000033,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-22,Monday,10,145,108,37,143,101,42,-1.38,Overcast,61,No,None,Winter,Very High
FC0000034,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-22,Monday,11,106,82,24,114,80,34,7.55,Overcast,61,No,None,Winter,Very High
FC0000035,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-22,Monday,14,120,90,30,132,95,37,10.0,Overcast,61,No,None,Winter,Very High
FC0000036,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-22,Monday,15,77,59,18,89,64,25,15.58,Overcast,61,No,None,Winter,High
